SampleID	CollectionDate	Subject	Subj_Certainty	SampleCollectedBy	SampleNotes	n_dna_extractions	n_rna_extractions	n_seq_16s	ExtractID_RNA	ExtractDate_RNA	ExtractedBy_RNA	ExtractKit_RNA	ExtractBox_RNA	ExtractNotes_RNA	ExtractConc_RNA	ExtractID_DNA	ExtractDate_DNA	ExtractedBy_DNA	ExtractKit_DNA	ExtractBox_DNA	ExtractNotes_DNA	ExtractConc_DNA	SequenceID	Seq_16sDate	Pipeline	LibraryTube	LibraryBarcode	LibraryFinalConc	LibraryPoolVol_ul	LibraryCode
HDZ-071	2023-12-02	Culi	yes	HDZ Keepers		1	1	1	HDZ-071-E2	2024-01-25	MB	Quick-DNA/RNA MagBead			NA	HDZ-071-E1	2024-01-24	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		35	HDZ-071-S79	2024-06-13	16S	10	16S10	1	3	PL004
HDZ-072	2023-11-29	Warble	yes	HDZ Keepers		1	1	1	HDZ-072-E2	2024-03-05	MB	Quick-DNA/RNA MagBead			NA	HDZ-072-E1	2024-02-29	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		11	HDZ-072-S34	2024-06-10	16S	11	16S11	5	1	PL002
HDZ-073	2023-11-26	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-073-E1	2024-02-25	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		59	HDZ-073-S194	2024-08-16	16S	10	16S10	NA	NA	PL009
HDZ-074	2023-11-23	Warble	yes	HDZ Keepers		1	1	0	HDZ-074-E2	2024-03-11	MB	Quick-DNA/RNA MagBead			NA	HDZ-074-E1	2024-03-06	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	DNA conc lower than std	0	NA	NA	NA	NA	NA	NA	NA	NA
HDZ-075	2023-12-01	Warble	yes	HDZ Keepers		1	1	0	HDZ-075-E2	2024-03-05	MB	Quick-DNA/RNA MagBead			NA	HDZ-075-E1	2024-02-29	WJ, MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1	Not sure if these samples were extracted twice, but Missy extracted them on 2/29/24	0	NA	NA	NA	NA	NA	NA	NA	NA
HDZ-076	2023-12-01	Culi	yes	HDZ Keepers		1	1	1	HDZ-076-E2	2024-03-05	MB	Quick-DNA/RNA MagBead			NA	HDZ-076-E1	2024-02-29	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		1	HDZ-076-S24	2024-06-10	16S	1	16S1	5	1	PL002
HDZ-077	2023-11-27	Culi	no	HDZ Keepers		1	1	1	HDZ-077-E2	2024-03-05	MB	Quick-DNA/RNA MagBead			NA	HDZ-077-E1	2024-02-29	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		28	HDZ-077-S38	2024-06-10	16S	16	16S16	1	5	PL002
HDZ-078	2023-11-23	Culi	yes	HDZ Keepers		1	1	1	HDZ-078-E2	2024-03-05	MB	Quick-DNA/RNA MagBead			NA	HDZ-078-E1	2024-02-29	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		6	HDZ-078-S27	2024-06-10	16S	4	16S4	6	1	PL002
HDZ-079	2023-11-22	Warble	yes	HDZ Keepers		1	1	1	HDZ-079-E2	2024-03-05	MB	Quick-DNA/RNA MagBead			NA	HDZ-079-E1	2024-02-29	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		1	HDZ-079-S25	2024-06-10	16S	2	16S2	4	1	PL002
HDZ-080	2024-01-02	Culi	yes	HDZ Keepers		1	1	0	HDZ-080-E2	2024-03-11	MB	Quick-DNA/RNA MagBead			NA	HDZ-080-E1	2024-03-06	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2	DNA conc lower than std	0	NA	NA	NA	NA	NA	NA	NA	NA
HDZ-081	2023-12-31	Culi	yes	HDZ Keepers		1	1	1	HDZ-081-E2	2024-03-11	MB	Quick-DNA/RNA MagBead			NA	HDZ-081-E1	2024-03-06	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		65	HDZ-081-S40	2024-06-10	16S	18	16S18	1	2	PL002
HDZ-082	2023-12-29	Warble	yes	HDZ Keepers		1	1	1	HDZ-082-E2	2024-03-11	MB	Quick-DNA/RNA MagBead			NA	HDZ-082-E1	2024-03-06	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		79	HDZ-082-S41	2024-06-10	16S	19	16S19	1	2	PL002
HDZ-083	2023-12-26	Warble	yes	HDZ Keepers		1	1	1	HDZ-083-E2	2024-03-11	MB	Quick-DNA/RNA MagBead			NA	HDZ-083-E1	2024-03-06	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		56	HDZ-083-S39	2024-06-10	16S	17	16S17	1	7	PL002
HDZ-084	2023-12-21	Culi	yes	HDZ Keepers		1	1	1	HDZ-084-E2	2024-03-11	MB	Quick-DNA/RNA MagBead			NA	HDZ-084-E1	2024-03-06	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		11	HDZ-084-S35	2024-06-10	16S	12	16S12	5	1	PL002
HDZ-085	2024-01-01	Culi	yes	HDZ Keepers		1	1	1	HDZ-085-E2	2024-03-11	MB	Quick-DNA/RNA MagBead			NA	HDZ-085-E1	2024-03-06	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		94	HDZ-085-S92	2024-06-13	16S	23	16S23	4	1	PL004
HDZ-086	2023-12-30	Culi	yes	HDZ Keepers		1	1	1	HDZ-086-E2	2024-03-11	MB	Quick-DNA/RNA MagBead			NA	HDZ-086-E1	2024-03-06	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		83	HDZ-086-S42	2024-06-10	16S	20	16S20	2	2	PL002
HDZ-087	2023-12-29	Culi	yes	HDZ Keepers		1	1	1	HDZ-087-E2	2024-03-27	MB	Quick-DNA/RNA MagBead			NA	HDZ-087-E1	2024-04-03	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		34	HDZ-087-S78	2024-06-13	16S	9	16S9	4	1	PL004
HDZ-088	2023-12-26	Culi	yes	HDZ Keepers		1	1	1	HDZ-088-E2	2024-03-27	MB	Quick-DNA/RNA MagBead			NA	HDZ-088-E1	2024-04-03	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		46	HDZ-088-S234	2024-08-21	16S	4	16S4	NA	NA	PL011
HDZ-089	2023-12-24	Culi	yes	HDZ Keepers		1	1	1	HDZ-089-E2	2024-03-27	MB	Quick-DNA/RNA MagBead			NA	HDZ-089-E1	2024-04-03	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		25	HDZ-089-S64	2024-06-12	16S	18	16S18	7	1	PL003
HDZ-090	2023-12-30	Warble	yes	HDZ Keepers	Almost no stabilizer in the tube	1	1	1	HDZ-090-E2	2024-03-27	MB	Quick-DNA/RNA MagBead			NA	HDZ-090-E1	2024-04-03	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		56	HDZ-090-S235	2024-08-21	16S	5	16S5	NA	NA	PL011
HDZ-091	2023-12-28	Culi	yes	HDZ Keepers		1	1	1	HDZ-091-E2	2024-03-27	MB	Quick-DNA/RNA MagBead			NA	HDZ-091-E1	2024-04-03	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		52	HDZ-091-S236	2024-08-21	16S	6	16S6	NA	NA	PL011
HDZ-092	2023-12-25	Warble	yes	HDZ Keepers		1	1	1	HDZ-092-E2	2024-03-27	MB	Quick-DNA/RNA MagBead			NA	HDZ-092-E1	2024-04-03	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		44	HDZ-092-S237	2024-08-21	16S	7	16S7	NA	NA	PL011
HDZ-093	2023-12-23	Warble	yes	HDZ Keepers		1	1	1	HDZ-093-E2	2024-03-27	MB	Quick-DNA/RNA MagBead			NA	HDZ-093-E1	2024-04-03	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		25	HDZ-093-S65	2024-06-12	16S	19	16S19	2	2	PL003
HDZ-094	2023-11-20	Culi	yes	HDZ Keepers		1	1	1	HDZ-094-E2	2024-03-27	MB	Quick-DNA/RNA MagBead			NA	HDZ-094-E1	2024-04-04	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		25	HDZ-094-S66	2024-06-12	16S	20	16S20	1	3	PL003
HDZ-095	2023-10-26	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-095-E1	2024-08-26	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		27	HDZ-095-S300	2024-09-06	16S	1	16S1	NA	NA	PL014
HDZ-096	2023-12-27	Warble	yes	HDZ Keepers		1	1	1	HDZ-096-E2	2024-03-27	MB	Quick-DNA/RNA MagBead			NA	HDZ-096-E1	2024-04-04	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		41	HDZ-096-S95	2024-07-17	16S	3	16S3	2	2	PL005
HDZ-097	2023-12-25	Culi	yes	HDZ Keepers		1	1	1	HDZ-097-E2	2024-03-27	MB	Quick-DNA/RNA MagBead			NA	HDZ-097-E1	2024-04-04	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		83	HDZ-097-S91	2024-06-13	16S	22	16S22	6	1	PL004
HDZ-098	2023-12-22	Culi	yes	HDZ Keepers		1	1	1	HDZ-098-E2	2024-03-27	MB	Quick-DNA/RNA MagBead			NA	HDZ-098-E1	2024-04-04	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		47	HDZ-098-S238	2024-08-21	16S	8	16S8	NA	NA	PL011
HDZ-099	2023-12-21	Warble	yes	HDZ Keepers		1	1	1	HDZ-099-E2	2024-03-27	MB	Quick-DNA/RNA MagBead			NA	HDZ-099-E1	2024-04-04	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		32	HDZ-099-S72	2024-06-13	16S	3	16S3	5	1	PL004
HDZ-101	2023-12-24	Warble	yes	HDZ Keepers	Very little stabilizer in the tube	1	1	1	HDZ-101-E2	2024-03-27	MB	Quick-DNA/RNA MagBead			NA	HDZ-101-E1	2024-04-04	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		20	HDZ-101-S57	2024-06-12	16S	11	16S11	1	5	PL003
HDZ-102	2023-12-23	Culi	no	HDZ Keepers		1	1	1	HDZ-102-E2	2024-03-27	MB	Quick-DNA/RNA MagBead			NA	HDZ-102-E1	2024-04-04	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		32	HDZ-102-S96	2024-07-17	16S	4	16S4	1	3	PL005
HDZ-103	2023-12-22	Warble	yes	HDZ Keepers		1	1	1	HDZ-103-E2	2024-03-27	MB	Quick-DNA/RNA MagBead			NA	HDZ-103-E1	2024-04-04	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		46	HDZ-103-S239	2024-08-21	16S	9	16S9	NA	NA	PL011
HDZ-104	2023-11-20	Warble	yes	HDZ Keepers		1	1	1	HDZ-104-E2	2024-04-10	MB	Quick-DNA/RNA MagBead			NA	HDZ-104-E1	2024-04-08	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		26	HDZ-104-S69	2024-06-12	16S	23	16S23	3	2	PL003
HDZ-105	2023-12-28	Warble	yes	HDZ Keepers		1	1	1	HDZ-105-E2	2024-04-10	MB	Quick-DNA/RNA MagBead			NA	HDZ-105-E1	2024-04-08	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		39	HDZ-105-S97	2024-07-17	16S	5	16S5	1	5	PL005
HDZ-106	2024-01-01	Warble	yes	HDZ Keepers		1	1	1	HDZ-106-E2	2024-04-10	MB	Quick-DNA/RNA MagBead			NA	HDZ-106-E1	2024-04-08	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		40	HDZ-106-S83	2024-06-13	16S	14	16S14	5	1	PL004
HDZ-107	2024-01-02	Warble	yes	HDZ Keepers		1	1	1	HDZ-107-E2	2024-04-10	MB	Quick-DNA/RNA MagBead			NA	HDZ-107-E1	2024-04-08	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		17	HDZ-107-S55	2024-06-12	16S	9	16S9	5	1	PL003
HDZ-108	2023-12-27	Culi	yes	HDZ Keepers		1	1	1	HDZ-108-E2	2024-04-10	MB	Quick-DNA/RNA MagBead			NA	HDZ-108-E1	2024-04-08	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		21	HDZ-108-S60	2024-06-12	16S	14	16S14	4	1	PL003
HDZ-109	2023-12-31	Warble	yes	HDZ Keepers		1	1	1	HDZ-109-E2	2024-04-10	MB	Quick-DNA/RNA MagBead			NA	HDZ-109-E1	2024-04-08	WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		43	HDZ-109-S240	2024-08-21	16S	10	16S10	NA	NA	PL011
HDZ-155	2023-12-15	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-155-E1	2024-04-09	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		25	HDZ-155-S67	2024-06-12	16S	21	16S21	2	2	PL003
HDZ-156	2023-12-15	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-156-E1	2024-04-09	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		25	HDZ-156-S68	2024-06-12	16S	22	16S22	2	2	PL003
HDZ-157	2023-12-14	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-157-E1	2024-04-09	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		57	HDZ-157-S241	2024-08-21	16S	11	16S11	NA	NA	PL011
HDZ-158	2024-07-16	Warble	no	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-158-E1	2024-08-27	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		39	HDZ-158-S301	2024-09-06	16S	2	16S2	NA	NA	PL014
HDZ-159	2024-07-02	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-159-E1	2024-08-27	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		22	HDZ-159-S302	2024-09-06	16S	3	16S3	NA	NA	PL014
HDZ-160	2024-06-10	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-160-E1	2024-07-26	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		45	HDZ-160-S242	2024-08-21	16S	12	16S12	NA	NA	PL011
HDZ-161	2023-12-16	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-161-E1	2024-04-09	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		34	HDZ-161-S77	2024-06-13	16S	8	16S8	2	2	PL004
HDZ-162	2023-12-17	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-162-E1	2024-04-09	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		41	HDZ-162-S243	2024-08-21	16S	13	16S13	NA	NA	PL011
HDZ-163	2023-12-19	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-163-E1	2024-04-09	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		40	HDZ-163-S82	2024-06-13	16S	13	16S13	4	1	PL004
HDZ-164	2024-06-13	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-164-E1	2024-07-26	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		18	HDZ-164-S195	2024-08-16	16S	11	16S11	NA	NA	PL009
HDZ-165	2024-05-14	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-165-E1	2024-07-26	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		22	HDZ-165-S196	2024-08-16	16S	12	16S12	NA	NA	PL009
HDZ-166	2024-05-14	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-166-E1	2024-07-26	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		9	HDZ-166-S197	2024-08-16	16S	13	16S13	NA	NA	PL009
HDZ-167	2023-12-14	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-167-E1	2024-04-09	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		75	HDZ-167-S198	2024-08-16	16S	14	16S14	NA	NA	PL009
HDZ-168	2023-12-17	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-168-E1	2024-04-09	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		20	HDZ-168-S58	2024-06-12	16S	12	16S12	2	2	PL003
HDZ-169	2023-12-18	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-169-E1	2024-04-09	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		45	HDZ-169-S244	2024-08-21	16S	14	16S14	NA	NA	PL011
HDZ-170	2023-12-18	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-170-E1	2024-04-09	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		46	HDZ-170-S245	2024-08-21	16S	15	16S15	NA	NA	PL011
HDZ-171	2024-06-28	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-171-E1	2024-08-27	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		32	HDZ-171-S303	2024-09-06	16S	4	16S4	NA	NA	PL014
HDZ-172	2024-06-29	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-172-E1	2024-08-27	ZE	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 6		76	HDZ-172-S304	2024-09-06	16S	5	16S5	NA	NA	PL014
HDZ-173	2023-12-14	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-173-E1	2024-04-09	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		53	HDZ-173-S246	2024-08-21	16S	16	16S16	NA	NA	PL011
HDZ-174	2023-12-16	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-174-E1	2024-04-09	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		52	HDZ-174-S247	2024-08-21	16S	17	16S17	NA	NA	PL011
HDZ-175	2023-12-13	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-175-E1	2024-04-15	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		22	HDZ-175-S61	2024-06-12	16S	15	16S15	2	2	PL003
HDZ-176	2023-12-09	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-176-E1	2024-04-15	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		8	HDZ-176-S51	2024-06-12	16S	5	16S5	1	4	PL003
HDZ-177	2023-12-13	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-177-E1	2024-04-15	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		5	HDZ-177-S47	2024-06-12	16S	1	16S1	3	2	PL003
HDZ-178	2024-06-20	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-178-E1	2024-07-26	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 4		60	HDZ-178-S199	2024-08-16	16S	15	16S15	NA	NA	PL009
HDZ-179	2023-12-11	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-179-E1	2024-04-15	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		32	HDZ-179-S98	2024-07-17	16S	6	16S6	1	5	PL005
HDZ-180	2023-12-12	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-180-E1	2024-04-15	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		26	HDZ-180-S99	2024-07-17	16S	7	16S7	1	3	PL005
HDZ-181	2023-12-10	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-181-E1	2024-04-15	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		33	HDZ-181-S74	2024-06-13	16S	5	16S5	1	3	PL004
HDZ-182	2023-12-08	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-182-E1	2024-04-15	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		13	HDZ-182-S52	2024-06-12	16S	6	16S6	1	4	PL003
HDZ-183	2023-12-07	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-183-E1	2024-04-15	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		41	HDZ-183-S84	2024-06-13	16S	15	16S15	4	1	PL004
HDZ-184	2023-12-07	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-184-E1	2024-04-15	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		53	HDZ-184-S248	2024-08-21	16S	18	16S18	NA	NA	PL011
HDZ-185	2023-12-09	Warble	yes	HDZ Keepers		0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HDZ-186	2023-12-06	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-186-E1	2024-04-15	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		33	HDZ-186-S73	2024-06-13	16S	4	16S4	3	1	PL004
HDZ-187	2023-12-06	Culi	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-187-E1	2024-04-15	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		32	HDZ-187-S71	2024-06-13	16S	2	16S2	2	2	PL004
HDZ-188	2023-12-05	Warble	yes	HDZ Keepers		1	0	1	NA	NA	NA	NA	NA	NA	NA	HDZ-188-E1	2024-04-15	MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		24	HDZ-188-S62	2024-06-12	16S	16	16S16	2	2	PL003
